Name,Meeting Time,Location,Sponsor,Description,Tags,Contact,Image Path
Machine Learning and Computer Science Club,Meets Fri Weekly during Lunch, 248,Menchukov,"Learn, develop, and discuss content related to artificial intelligence, machine learning, and computer science. We compete in hackathons, datathons, and programing competitions.","Interest, Competitive, Academic, STEM",@wjaiclub Discord,images/machineLearning.jpg
Web Development Club,Meets Tue Weekly during Lunch, 248,Menchukov,"Have fun by creating websites using HTML, Javascript, and CSS","Interest, STEM",,images/webdev.png
Pasion Latino,"Meets Mon, Tue, Wed Weekly during Lunch", G46,Arenberg,"To broaden students horzions with the hispanic/latino cultures as of dance such as bachata, merengue, salsa etc. And to bring together hispanic/latino students for their passion for dance.","Dance, Culture",,images/latinDance.jpg
WJ Ski Club,Meets Fri Biweekly during Lunch, 135,Rosenthal,"WJ Ski Club for 9-12. Meet Bi-Weekly through winter to discuss our upcoming ski trips, cool clips, and more!","Interest, Competitive, Games/Sports",,images/ski.jpg
Political Speakers Club,Meets Wed Monthly during Lunch, Room 117,Merrill,"Our purpose is to bring political figures to WJ to speak about issues and topics that concern WJ students, as well as to discuss and learn about these issues. ",Interest,,images/politics.jpg
Treats that Treat,Meets Wed Monthly during Other, G20,Lipsitz,We bake cookies to donate to hospitals and nursery homes.,"Interest, Charity/Activism",,images/treats.jpg
Paws For a Cause,Meets Thu Biweekly during Lunch, 214,Krents,We will help non profit shelters by donating items collected from drives and set up fundraisers. ,"Interest, Charity/Activism",,images/pawslogo.jpg
Ukrainian Club,Meets Mon Weekly during Lunch, 113,Matro ,"To educate people about Ukraine's culture, and to bring awareness to the ongoing crisis.","Charity/Activism, Culture",,images/ukraine.png
Japanese Game and Culture Club,Meets Thu Biweekly during Lunch, 117,Merrill,"The purpose of the Japanese Game and Culture Club is to share the cultural appreciation of all things Japanese, including games and culture to the students of WJ. During every meeting we will enjoy the positive aspects of Japanese culture by socializing together via fun games and enjoyable activities!","Interest, Competitive, Games/Sports, Culture",,images/japaneseGame.png
Government AP Preparation (GAPP) Club,Meets Mon Weekly during Lunch, 114,Meier,"GAPP Club helps students, often freshmen, prepare for the AP Gov exam, which is often their first AP exam. Meetings cover key study strategies, helpful resources, and specific content review to supplement teacher-led and independent review.",Academic,,images/gaap.PNG
Culinary Club,Meets Tue Biweekly during Lunch, G02,Martinez,To let students gain experience in the culinary arts and form great memory and life skills that will stick with them through life.,"Interest, Charity/Activism, Culture",,images/culinary.png
Business and Investment Club,Meets Thu Weekly during Lunch, 110,Rodman,Educate students about the stock markets and other types of investing. ,Academic,,images/business.jpg
WJ Model United Nations,Meets Wed Weekly during Lunch, Room 110,Rodman,"We’re a cooperative, inclusive, and engaging club that aims to simulate the dynamic deliberation that occurs at the United Nations every day!","Competitive, Academic",@WJModelUN,images/modelUn.png
Kaffeeklatsch,Meets Wed Biweekly during Lunch, 113,Matro,"Here at the Kaffeeklatsch club we try authentic German foods, watch German movies and news, and learn some German! Everyone and anyone at any level is welcome to join!","Interest, Culture",,images/kaffe.png
Leveling the Playing Field,Meets Tue Biweekly during Lunch, 193,Payne,WJ Leveling the Playing Field works to gather used/old sports equipment to donate to underprivileged kids. ,Charity/Activism,@wjlpfclub,images/level.PNG
Sources of Strength,Meets Thu Biweekly during Lunch, 117,Kennedy,Mental Health Awareness,Charity/Activism,,images/sources.PNG
So What Else? club,Meets Thu Biweekly during Lunch, Room 247,Besch,The WJ So What Else? Club works with the local nonprofit So What Else? to organize volunteer opportunities and fundraisers for students in order to improve the lives of children and families living in underserved communities in the Baltimore-Washington Metro Area. ,Charity/Activism,,images/soWhatElse.PNG
Maison Shalom,Meets Tue Monthly during Lunch, 117,Merrill,The purpose of Maison Shalom is to raise money and spread awareness for Burndian refugees in Rwanda. ,Charity/Activism,,images/maison.PNG
Wiffle Ball at WJ,Meets Wed Weekly during Lunch, meeting room is 196,Krakower,To play WIffle Ball on the grass near the Baseball Field.,Games/Sports,,images/wiffle.png
Sports Debate,Meets Mon Monthly during Lunch, Room #105,Butler,To get people who love sports together,Games/Sports,,images/sportDebate.jpg
C.A.R.E club,Meets Thu Biweekly during Lunch, G 34,Kinani,To help those in need by oragnzing bake sales and giving the money to chartity and helping people get SSL hours,Charity/Activism,,images/help.jpg
WJ Turkish Class,Meets Fri Biweekly during Lunch, P15,Worden,share and celebrate the Turkish culture,Culture,,images/turkish.jpg
Pre-Med Club,Meets Wed Biweekly during Lunch, 113,Matro,Help students interested in STEM and medicine develop skills and knowledge by offering free exams such as Biology Olympiad and volunteering opportunities.,"Interest, Academic, STEM",,images/premed.jpg
AMVG Club,"Meets Wed, Fri Weekly during Lunch", Portable 09,Green,"You should consider joining the AMVG Club, short for the Anime, Music, and Video Games Club! This club's the perfect place in WJ for everyone who enjoys Anime-themed music, shows, and/or video games to discuss their interests!",Interest,,images/anime.jpg
Car club ,Meets Mon Biweekly during Lunch, P08,Laukaitis,Come to Car club to gather and discuss cars as well as race toy RC cars ,"Interest, Games/Sports",,images/car.webp
